,Simbol,% 1h,% 2h,% 7d
141,XAUR,-4.57%,-13.03%,-13.76%
142,ION,1.21%,10.04%,13.31%
143,CRW,0.23%,-5.44%,-2.62%
144,RBY,-1.66%,37.45%,1.31%
145,CDT,1.50%,13.07%,8.28%
146,BTX,-3.23%,22.07%,-26.20%
147,EMC,-0.80%,4.51%,-12.04%
148,POT,-0.35%,5.62%,6.17%
149,ACT,-0.28%,-8.53%,-9.92%
150,FTC,2.05%,1.81%,94.28%
151,SKY,-8.54%,-22.85%,-0.44%
152,AEON,-2.44%,2.19%,-18.73%
153,NMC,0.02%,-0.71%,12.76%
154,TRIG,-4.18%,4.93%,-25.25%
155,R,11.51%,23.40%,?
156,OK,-0.20%,2.69%,14.13%
157,SIB,-0.78%,-1.92%,-6.77%
158,SAFEX,-1.56%,17.78%,-19.58%
159,XRL,0.97%,3.02%,-8.05%
160,BLK,1.35%,1.65%,16.63%
161,DMD,-0.39%,1.82%,-14.02%
162,TOA,-0.71%,0.45%,18.99%
163,TIME,-0.56%,-2.20%,9.46%
164,PPP,4.76%,8.70%,-5.38%
165,ECN,-0.04%,0.44%,28.79%
166,CSNO,-0.25%,13.87%,-10.88%
167,VRC,6.05%,-27.03%,53.73%
168,SLS,-2.38%,10.13%,-38.46%
169,MSP,-1.58%,-0.79%,-12.88%
170,DBIX,0.63%,-9.62%,49.28%
171,HMQ,-0.95%,-1.61%,22.79%
172,EXP,1.53%,-1.71%,7.29%
173,CREDO,10.06%,-1.49%,-4.95%
174,MTH,-0.03%,17.97%,-9.78%
175,GOLOS,-1.75%,-4.29%,15.47%
176,STX,1.03%,5.18%,7.87%
177,AGRS,1.11%,0.46%,1.56%
178,ENRG,-0.78%,6.33%,-5.25%
179,CND,4.23%,24.29%,-18.02%
180,TCC,-0.28%,16.33%,-22.49%
181,ART,0.98%,53.89%,13.33%
182,LBC,1.65%,-0.09%,-2.55%
183,GRC,1.10%,-7.32%,-3.74%
184,NMR,-2.13%,15.80%,-10.50%
185,DLT,-2.35%,-3.38%,-7.40%
186,ADT,-0.29%,-2.88%,-18.81%
187,AVT,0.16%,8.51%,-17.76%
188,PPY,-1.10%,1.17%,-15.02%
189,XDN,-0.10%,-4.37%,18.18%
190,MUE,2.87%,1.95%,-13.25%
191,TX,-0.08%,-5.32%,56.94%
192,EMC2,0.61%,3.51%,-15.24%
193,PEPECASH,-7.56%,-16.02%,-17.01%
194,WCT,3.46%,8.41%,52.85%
195,SAN,-0.04%,5.25%,5.51%
196,XAS,-0.91%,-3.59%,-19.17%
197,MYST,0.02%,2.18%,0.70%
198,ALIS,4.79%,47.13%,16.83%
199,BMC,-0.18%,3.00%,-30.93%
200,PLBT,0.85%,6.39%,-1.39%
201,NXC,-1.74%,-2.21%,-36.34%
202,XRB,-2.70%,-0.72%,-20.56%
203,SHIFT,0.85%,3.44%,-10.21%
204,CMP,0.34%,7.54%,-39.41%
205,CLAM,-0.31%,3.85%,13.38%
206,AMP,4.44%,1.92%,2.83%
207,SLR,1.63%,-11.90%,28.31%
208,CNT,1.32%,-1.01%,38.13%
209,FLO,1.79%,1.67%,-18.16%
210,POE,-0.17%,5.10%,0.35%
211,PTOY,0.10%,-4.35%,-14.66%
212,OMNI,-3.32%,-0.48%,-14.63%
213,KICK,0.91%,-2.72%,-36.03%
214,XWC,-3.93%,9.96%,57.52%
215,NVST,0.90%,0.74%,4.50%
216,PZM,-0.36%,-6.86%,1.92%
217,B@,3.89%,38.54%,12.09%
218,GUP,0.26%,-6.80%,-14.81%
219,BURST,1.96%,0.60%,-15.96%
220,OAX,1.07%,6.21%,2.76%
221,QAU,0.38%,1.70%,-6.31%
222,NVC,-0.59%,-2.61%,73.60%
223,BCAP,1.00%,11.25%,-4.84%
224,UNO,-1.27%,-3.69%,-14.97%
225,RADS,-1.76%,-2.13%,-1.00%
226,LMC,-1.29%,2.60%,-16.79%
227,BSD,-1.91%,1.50%,-7.36%
228,LUN,-1.08%,-5.81%,-16.12%
229,PST,1.00%,4.37%,-7.17%
230,HVN,-1.21%,5.80%,-32.96%
231,WGR,-3.65%,0.03%,1.05%
232,B3,12.37%,36.22%,-70.18%
233,SWT,0.29%,7.38%,6.29%
234,SOAR,-0.28%,10.24%,25.26%
235,SPHR,3.24%,-6.20%,13.16%
236,XVC,-1.35%,15.34%,33.28%
237,EDR,3.29%,1.39%,7.81%
238,BTDX,6.80%,8.86%,4.57%
239,NAS,-0.28%,-0.54%,-10.98%
240,CAG,-4.83%,37.23%,23.59%
241,NEOS,0.23%,-1.04%,8.64%
242,DTB,-0.12%,2.10%,-9.29%
243,RVT,1.31%,17.76%,-29.22%
244,OCT,10.99%,8.74%,98.99%
245,KORE,8.99%,5.87%,-17.45%
246,XSPEC,0.76%,5.62%,25.83%
247,GAM,0.09%,-3.88%,-6.71%
248,NET,4.57%,16.88%,6.03%
249,BITCNY,13.82%,13.80%,14.11%
250,VOX,1.15%,-3.16%,6.57%
251,IXT,-2.63%,1.72%,-29.69%
252,XBY,2.42%,3.48%,-31.09%
253,INCNT,-0.27%,6.44%,3.96%
254,OBITS,-8.96%,-14.79%,-6.13%
255,COSS,5.16%,23.00%,-22.70%
256,TIX,1.66%,-6.69%,-53.82%
257,IFT,-1.10%,-7.37%,-18.79%
258,BCY,-0.50%,0.32%,-23.49%
