,Simbol,% 1h,% 2h,% 7d
609,UNITY,2.65%,2.33%,8.89%
610,TGT,-10.99%,-51.08%,-46.22%
611,ECOB,0.31%,-17.16%,-0.86%
612,JINN,2.65%,-2.09%,?
613,NSR,-0.40%,-15.16%,39.43%
614,ETT,1.20%,-65.11%,-47.90%
615,ARC,1.00%,7.77%,-19.14%
616,YASH,-0.29%,-10.31%,4.51%
617,STCN,-0.28%,1.53%,?
618,CAGE,-2.15%,2214.03%,5.46%
619,AC,2.76%,8.83%,-11.94%
620,EMV,1.20%,134.59%,-45.41%
621,VASH,?,?,-14.42%
622,MXT,0.33%,-5.82%,-2.33%
623,BASH,-0.28%,3.73%,16.56%
624,MGC,?,?,0.15%
625,ICOO,0.49%,1.00%,-10.46%
626,LOG,-0.40%,1.52%,24.21%
627,CBX,-0.41%,3.68%,-12.06%
628,TIPS,-5.35%,72.95%,24.51%
629,IFC,4.23%,26.51%,-8.19%
630,INPAY,-0.28%,-20.64%,-21.61%
631,DCY,-0.30%,1.49%,4.18%
632,NKA,1.78%,47.81%,-17.81%
633,LNK,-25.44%,81.79%,19.58%
634,AHT,-0.28%,-3.50%,1.85%
635,BPC,-0.40%,18.96%,-33.34%
636,SDC,?,4.59%,6.23%
637,METAL,-0.40%,0.85%,-19.41%
638,EAC,-0.37%,1.52%,8.56%
639,MEC,-0.46%,-0.62%,25.10%
640,USC,-0.28%,70.40%,31.82%
641,HERO,0.64%,-0.32%,1.25%
642,STRC,-0.28%,1.61%,41.94%
643,SHORTY,-0.28%,-0.42%,25.42%
644,CRM,1.62%,28.92%,-17.65%
645,KOBO,-0.40%,-8.14%,17.77%
646,ITI,-0.26%,31.57%,50.73%
647,MAX,-0.42%,-11.35%,24.38%
648,ZCC,?,?,-19.37%
649,CDN,-6.55%,1.03%,-2.71%
650,HBN,1.77%,15.89%,61.74%
651,NOBL,-2.09%,-7.58%,12.83%
652,RUSTBITS,?,-7.58%,?
653,RC,-0.28%,-21.11%,13.60%
654,E4ROW,1.00%,7.79%,368.27%
655,NEWB,1.02%,98.36%,51.16%
656,CARBON,0.49%,59.85%,16.21%
657,UNIT,-0.28%,-6.97%,141.45%
658,UIS,-0.67%,-0.33%,14.97%
659,ORB,-0.53%,3.59%,21.03%
660,CASINO,2.68%,?,-49.49%
661,MAC,-18.95%,-0.83%,-3.10%
662,DSH,0.21%,-15.75%,33.48%
663,FC2,-0.40%,2.04%,56.23%
664,BRIT,-1.60%,-5.08%,6.02%
665,OHM,0.69%,-0.40%,4.94%
666,GAIA,-0.91%,26.73%,22.05%
667,TALK,-0.40%,29.20%,16.74%
668,AMBER,?,4.68%,9.11%
669,TOR,-0.28%,-42.24%,2010.64%
670,BITZ,-0.28%,-12.29%,?
671,TROLL,9.07%,-20.66%,-4.20%
672,XCN,-0.40%,1.53%,-49.57%
673,GLC,-0.40%,4.46%,-2.78%
674,BLOCKPAY,1.43%,-4.11%,-87.67%
675,8BIT,-0.49%,16.92%,28.06%
676,V,0.48%,-30.75%,-1.30%
677,AU,-0.36%,2.28%,18.06%
678,TRI,-0.42%,-6.15%,-15.19%
679,VAL,?,2.30%,?
680,I0C,-0.40%,-6.39%,13.64%
681,PIGGY,-18.00%,15.93%,-17.71%
682,JET,-0.13%,-33.25%,-35.38%
683,PXC,-0.47%,2.45%,50.70%
684,ICN,1.05%,29.21%,59.05%
685,RIYA,-0.65%,4.64%,8.45%
686,DAXX,-0.18%,-16.06%,-4.34%
687,BUCKS,-0.31%,-15.32%,52.38%
688,LANA,3.00%,66.56%,42.11%
689,TRK,-0.28%,-23.17%,7.13%
690,BTCS,-0.42%,-4.90%,-6.03%
691,TAG,-0.40%,-9.64%,8.19%
692,HODL,-0.42%,-6.29%,26.61%
693,STS,-0.40%,-12.98%,-17.33%
694,SLG,-0.40%,-27.84%,61.98%
695,WAY,-0.28%,6.09%,?
696,RBIES,-0.56%,1.35%,-21.67%
697,MAY,0.09%,8.85%,36.20%
698,OPAL,-0.28%,-0.44%,21.54%
699,VIDZ,0.02%,18.62%,10.44%
700,SPEX,?,5.03%,27.72%
701,FRC,-0.42%,-2.34%,9.65%
702,PR,-0.33%,3.49%,-5.71%
703,CNO,0.70%,-10.37%,?
704,CNNC,13.65%,79.38%,62.79%
705,XLC,0.03%,16.70%,-28.20%
706,BBP,7.17%,21.84%,19.97%
707,FLY,-0.40%,?,?
708,CCN,-0.40%,-9.03%,17.91%
709,BTWTY,0.74%,-21.60%,-5.87%
710,GOOD,-0.40%,-55.30%,?
711,FUNK,0.59%,37.05%,-6.12%
712,NYAN,-0.15%,-3.30%,14.53%
713,CUBE,-0.42%,?,23.51%
714,BOLI,-0.32%,-6.61%,8.33%
715,SH,-0.28%,-25.41%,54.78%
716,KAYI,-0.28%,-14.92%,-31.00%
717,CYP,?,?,?
718,HONEY,-0.12%,19.79%,22.83%
719,VC,?,2.90%,?
720,DVC,6.13%,0.63%,-32.93%
721,LOT,-0.61%,2.02%,9.07%
722,FLT,-7.46%,1.35%,4.52%
723,USDE,-0.42%,103.05%,24.71%
724,UNIC,-0.42%,2.28%,19.48%
725,KED,-0.47%,36.82%,35.21%
726,XRE,-0.28%,1.56%,17.79%
727,URC,33.23%,1.53%,115.30%
728,BIGUP,-0.42%,2.78%,25.65%
729,BXT,-0.28%,-7.37%,8.43%
730,TGC,-0.40%,-0.59%,12.65%
731,XPY,-0.28%,-21.90%,24.57%
732,MNM,-0.28%,-22.19%,-6.52%
733,XGR,3.20%,-38.37%,-43.33%
734,GUN,-0.41%,-13.71%,13.59%
735,YAC,-0.42%,1.52%,19.82%
736,ZUR,-0.43%,12.30%,-34.28%
737,PX,-0.28%,237.48%,188.32%
738,JIN,-0.28%,?,-32.09%
739,ELE,-0.40%,2.48%,-43.87%
740,DLC,-0.28%,2.04%,10.59%
741,GRT,-0.28%,-0.78%,-1.23%
742,ICE,0.18%,-41.87%,-65.09%
743,DGC,-0.10%,4.26%,21.25%
744,FUNC,1.03%,54.35%,-3.63%
745,SLM,-0.29%,64.71%,-12.39%
746,SWING,-0.07%,-13.83%,-36.81%
747,CHESS,-0.34%,-2.94%,13.26%
748,BTG,-4.12%,-26.53%,-63.07%
749,Q2C,-0.40%,-21.04%,8.68%
750,MAD,?,?,7.32%
751,EVIL,-26.42%,-12.50%,1.90%
752,BLC,-0.32%,-5.69%,9.24%
753,EVO,-0.30%,1.99%,0.06%
754,J,-0.28%,-14.55%,48.55%
755,PIE,-0.28%,-25.30%,-66.09%
756,GB,-0.45%,2.14%,22.30%
757,BSTY,-0.42%,6.49%,15.91%
758,WMC,?,?,?
759,ANTI,-0.28%,-4.68%,14.27%
760,UNITS,-0.28%,77.79%,23.38%
761,ACOIN,-0.42%,-1.07%,2.05%
762,LEA,-0.28%,1.95%,3.31%
763,RBX,-0.22%,5.25%,0.39%
764,EL,-3.75%,-12.10%,11.61%
765,EMD,-0.46%,-13.44%,-3.94%
766,HMP,-0.40%,1.52%,24.21%
767,BAS,1.25%,11.00%,-22.98%
768,XPD,-0.48%,-32.63%,-36.91%
769,GAP,-0.40%,1.52%,15.10%
770,GP,-0.46%,-7.48%,-22.20%
771,SMOKE,-1.55%,-4.98%,?
772,LTBC,?,?,?
773,SRC,-0.40%,2.82%,8.58%
774,XCT,-0.28%,2.31%,3.54%
775,CACH,-0.26%,0.06%,22.45%
776,TTC,-0.74%,-0.21%,-9.31%
777,CJ,-1.36%,24.69%,-5.45%
778,020,?,?,?
779,ARCO,-0.40%,55.66%,23.80%
780,CON,-0.51%,21.96%,-32.20%
781,QCN,-0.40%,-12.65%,8.13%
782,FRK,?,?,?
783,BCF,-0.52%,-4.88%,8.84%
784,ISL,?,?,?
785,888,-1.65%,-2.62%,0.64%
786,SPACE,-0.42%,-1.86%,18.38%
787,CAT,-2.99%,32.21%,12.11%
788,FIRE,-0.42%,?,?
789,WYV,-0.28%,-6.81%,64.22%
790,FLAX,-0.40%,-13.57%,-24.83%
791,BUMBA,-0.28%,4.00%,51.68%
792,SLING,?,4.62%,?
793,BTCR,56.22%,3.59%,-46.51%
794,C2,0.50%,13.09%,-19.63%
795,4CHN,2.47%,2.03%,-8.13%
796,PHS,-0.40%,0.96%,-3.80%
797,BTQ,-2.13%,6.23%,-38.13%
798,MTM,2.68%,0.08%,?
799,XCO,-0.42%,2.28%,-26.37%
800,ARI,-4.87%,1.56%,-3.62%
801,SPT,8.62%,3.13%,32.01%
802,CRX,-2.71%,-11.30%,-9.19%
803,RBT,1.36%,9.90%,19.69%
804,RPC,-0.32%,-7.84%,6.21%
805,MAR,0.76%,57.64%,33.27%
806,IMS,-0.25%,1.35%,-23.11%
807,REE,-0.16%,9.80%,-35.30%
808,STV,-0.39%,-29.52%,?
809,XVP,-0.32%,-6.72%,-61.93%
810,ARG,-0.42%,1.22%,-11.53%
811,EUC,-0.55%,-6.06%,12.15%
812,MST,-0.40%,13.48%,-2.60%
813,GPU,-0.27%,-14.07%,-17.84%
814,HAL,-0.40%,-1.50%,-5.57%
815,XTC,?,?,?
816,MARS,3.29%,13.13%,5.78%
817,PXI,-0.61%,6.42%,15.65%
818,KIC,-1.77%,89.95%,-34.53%
819,BVC,-0.42%,-11.20%,25.02%
820,DBTC,-0.29%,0.99%,2.74%
821,QTL,-0.55%,-5.20%,7.09%
822,MEOW,-4.26%,9.50%,10.24%
823,XBTC21,-0.28%,?,7.58%
824,DUO,-19.54%,-26.80%,-32.83%
825,ASAFE2,31.41%,62.66%,22.44%
826,XCRE,-0.42%,4.79%,20.56%
827,VEC2,?,2.38%,-19.62%
828,SCRT,-0.28%,?,?
829,CPN,-0.42%,7.21%,5.53%
830,ICOB,-0.70%,11.93%,34.04%
831,JWL,-0.28%,4.60%,11.13%
832,TSE,-0.40%,-14.40%,-22.01%
833,BLRY,-0.29%,-4.82%,26.96%
834,BRAIN,-0.40%,1.86%,36.42%
835,PULSE,?,3.40%,?
836,URO,?,?,?
837,KURT,-0.27%,63.53%,-30.36%
838,JOBS,-0.28%,?,49.88%
839,TIX,?,?,?
840,SOIL,-0.41%,18.44%,20.67%
841,GLT,-1.34%,-39.28%,1.80%
842,300,-0.28%,1.53%,-24.88%
843,GCC,-0.42%,-16.29%,-27.41%
844,BSTAR,?,?,?
845,MND,-0.40%,-22.65%,16.90%
846,ZMC,-0.42%,?,23.89%
847,DAS,-0.11%,-17.75%,-84.33%
848,LTCR,-0.98%,141.75%,113.61%
849,WARP,?,3.80%,-20.34%
850,CAB,-0.28%,1.52%,?
851,AGLC,-0.40%,231.04%,-20.20%
852,DRS,-0.28%,-31.68%,23.71%
853,SOON,-0.42%,-12.55%,2.82%
854,FLVR,?,3.53%,?
855,ATX,-0.40%,-2.59%,0.06%
856,PLNC,-0.40%,1.32%,?
857,MTLMC3,-0.40%,21.82%,8.03%
858,ZYD,-0.42%,8.67%,4.15%
859,GBC,0.00%,42.42%,7.09%
860,PONZI,?,3.31%,?
861,HXX,-0.47%,1.17%,-14.17%
862,TAGR,?,0.13%,13.17%
863,XBTS,-0.93%,-36.15%,-51.31%
864,G3N,-0.28%,-1.80%,-28.58%
865,DRACO,-0.28%,69.20%,-0.91%
866,WORM,-0.28%,-9.76%,-45.28%
867,STEPS,?,?,-13.56%
868,PRX,-0.28%,34.15%,39.26%
869,POP,0.07%,3.42%,-5.99%
870,UET,1.00%,3.65%,-17.11%
871,GBT,-0.28%,-7.70%,-20.33%
872,SFC,-0.40%,0.34%,26.20%
873,CXT,0.71%,-8.95%,-15.66%
874,HKG,?,?,?
875,COXST,?,10.03%,-5.32%
876,BSC,?,3.96%,?
877,SONG,-2.42%,24.32%,43.29%
878,NDAO,-0.28%,-14.50%,-55.10%
879,BIP,-11.80%,-22.76%,-22.98%
880,OS76,-0.40%,18.31%,47.17%
881,CRT,-0.40%,1.52%,24.21%
882,BTPL,-0.28%,-70.36%,-56.98%
883,BENJI,-0.64%,6.01%,-12.33%
884,VTA,-48.75%,1167.28%,-23.30%
885,IMPS,-0.42%,-4.12%,23.79%
886,ORLY,-0.40%,-16.93%,-4.05%
887,KRONE,-0.49%,-2.89%,-7.46%
888,VLTC,-31.32%,-23.83%,-21.56%
889,KNC,-0.28%,1.40%,-23.94%
890,IBANK,?,?,72.33%
891,PHO,-6.03%,-5.00%,-49.49%
892,BIOS,?,?,-10.90%
893,EGO,-0.40%,?,3.51%
894,RIDE,?,-0.78%,-27.16%
895,DLISK,?,-1.09%,-9.72%
896,LCP,-0.11%,-11.09%,-68.98%
897,CESC,-0.40%,1.52%,-28.85%
898,BLZ,0.52%,-10.33%,-2.80%
899,OFF,-0.28%,22.33%,-8.50%
900,ICON,-0.28%,-13.44%,-17.53%
901,LIR,-0.40%,1.52%,24.37%
902,VIP,-0.40%,-23.86%,-46.77%
903,ZNE,?,3.07%,8.41%
904,DPAY,?,?,-3.73%
905,AMMO,-0.28%,-23.85%,-37.99%
906,LUNA,-6.14%,2.60%,-27.33%
907,FUZZ,-2.02%,?,6.77%
908,HVCO,-0.28%,1.52%,?
909,CNC,-0.42%,-34.38%,-31.78%
910,IMX,-0.29%,34.27%,24.68%
911,PEX,?,?,-2.06%
912,SOCC,-0.28%,1.53%,-33.19%
913,VPRC,-0.42%,143.60%,23.56%
914,SLEVIN,-0.28%,-23.85%,86.31%
915,SCS,-0.28%,22.16%,9.60%
916,ALTC,-0.28%,?,14.49%
917,XOC,-0.42%,-5.02%,5.86%
918,BIOB,-0.28%,1.52%,19.96%
919,BNX,-1.05%,17.58%,11.11%
920,TRADE,-0.28%,5.76%,-42.67%
921,JS,1.20%,7.19%,-86.43%
922,SDP,?,?,24.45%
923,DOLLAR,-0.28%,-5.54%,19.79%
924,QBK,?,?,?
925,ARB,?,2.35%,?
926,CONX,-0.28%,21.48%,40.05%
927,MILO,-8.26%,?,-41.21%
928,RSGP,-0.28%,-24.49%,-52.36%
929,P7C,?,4.64%,-3.99%
930,SLFI,-0.42%,?,24.20%
931,VOLT,-0.28%,-11.17%,13.22%
932,XRC,-0.22%,7.28%,29.73%
933,PSB,-0.42%,-96.67%,-97.09%
934,CCM100,2.68%,1.12%,-18.81%
935,JIO,?,3.55%,-3.03%
936,NODC,-0.17%,-21.21%,11.36%
937,ARGUS,13.17%,0.76%,-32.41%
938,DIX,2.73%,8.23%,-27.09%
939,ELS,-0.28%,-15.40%,-9.30%
940,GEERT,-6.14%,11.68%,-25.55%
941,OCEAN,2.68%,0.46%,-15.48%
942,WBC,-0.28%,?,-70.15%
943,LBTC,-0.06%,1.31%,16.77%
944,BQC,-0.42%,1.54%,24.20%
945,FRAZ,-0.29%,44.47%,-75.67%
946,XNG,-14.89%,-15.30%,3.45%
947,REV,-0.42%,?,?
948,PWR,?,?,11.00%
949,CF,-18.46%,-27.25%,22.72%
950,SOJ,-0.28%,-33.29%,-7.46%
951,GSR,-0.28%,1.15%,1.97%
952,BBC,-0.28%,-74.58%,-81.52%
953,PIZZA,-0.28%,2.43%,-4.46%
954,TOKEN,-2.46%,-62.68%,27.89%
955,MUG,?,?,-0.31%
956,ULA,-0.28%,248.28%,-39.05%
957,LEX,2.68%,?,-63.26%
958,MNC,-0.28%,-49.23%,?
959,DGCS,-0.42%,1.52%,148.40%
960,ABN,-0.28%,-14.45%,15.97%
961,ENV,0.58%,?,-56.37%
962,FDC,-2.42%,-58.72%,?
963,CALC,-0.29%,-15.40%,-39.96%
964,APW,-0.28%,1.52%,24.21%
965,BTG,-1.37%,2.85%,10.45%
966,POWR,-2.48%,-22.43%,?
967,REC,1.79%,9.38%,-15.42%
968,BTBc,1.60%,-67.33%,?
969,DATA,-5.37%,?,?
970,FRGC,-0.14%,-1.45%,-1.54%
971,OTN,-0.09%,2.07%,110.61%
972,FRST,-0.33%,-1.16%,1.59%
973,ENJ,6.34%,18.49%,?
974,CLUB,0.53%,-21.32%,125.26%
975,B2X,0.24%,43.46%,75.70%
976,ETN,-1.08%,-44.10%,?
977,BT1,0.47%,1.59%,?
978,THS,-18.26%,79.02%,94.59%
979,BT2,-1.52%,12.61%,?
980,XTZ,-1.18%,3.83%,-7.30%
981,YOYOW,-1.13%,1.16%,20.69%
982,XIN,0.85%,18.05%,51.51%
983,ADK,-0.28%,9.13%,?
984,ORME,-0.82%,0.80%,30.51%
985,RCN,-4.41%,31.34%,4.75%
986,LA,-0.70%,-4.99%,-31.04%
987,XUC,0.28%,-3.86%,-5.96%
988,SIC,-0.28%,2.31%,80.41%
989,ZSC,0.95%,15.19%,6.01%
990,UGT,1.00%,7.22%,10.28%
991,SJCX,0.75%,-14.18%,-8.45%
992,LLT,-0.14%,41.36%,89.45%
993,DRT,10.79%,8.92%,-22.11%
994,AKY,2.70%,-3.24%,219.88%
995,HIGH,-28.69%,-93.87%,?
996,CNX,-0.28%,-4.64%,-2.38%
997,XID,0.12%,1.66%,-17.46%
998,FUEL,-1.39%,44.50%,?
999,MSD,-2.35%,-10.62%,-42.00%
1000,EVR,-8.31%,18.52%,-26.03%
1001,COR,34.72%,10.59%,0.75%
1002,GRID,9.62%,14.98%,?
1003,GBG,1.11%,7.48%,-0.76%
1004,ICX,-2.38%,29.34%,131.40%
1005,MNX,1.95%,66.78%,?
1006,ICOS,1.62%,18.18%,-6.60%
1007,LAZ,0.15%,54.33%,198.06%
1008,ECC,-25.21%,1.53%,0.70%
1009,COB,3.57%,15.04%,0.82%
1010,AION,5.96%,13.71%,1.77%
1011,BSR,-0.28%,9.07%,21.75%
1012,LTG,-6.36%,-42.39%,-67.44%
1013,RMC,7.26%,7.40%,?
1014,DEUS,-0.28%,12.80%,52.27%
1015,ATL,-4.38%,-12.45%,?
1016,MGC,-0.28%,-13.19%,35.72%
1017,BTCS,7.89%,15.82%,-95.24%
1018,BOS,-3.10%,-12.36%,66.08%
1019,EBTC,13.65%,-5.47%,?
1020,RHOC,1.00%,3.43%,-1.63%
1021,PRG,-1.14%,-3.55%,-32.85%
1022,XSH,13.84%,?,?
1023,BUZZ,2.37%,-15.69%,4.66%
1024,XNN,17.33%,56.44%,-33.80%
1025,EBIT,-16.21%,?,?
1026,EGOLD,0.61%,59.83%,?
1027,NULS,-0.28%,5.42%,64.44%
1028,ROOFS,-4.82%,-17.83%,?
1029,KEXCOIN,-0.28%,1.55%,24.77%
1030,ELITE,-3.59%,-2.80%,-63.37%
1031,SIGMA,1.00%,0.59%,-14.46%
1032,IBTC,0.19%,1.08%,?
1033,WA,-0.28%,-0.79%,29.14%
1034,DAY,10.62%,20.32%,-17.70%
1035,MCR,-0.35%,6.32%,23.14%
1036,AURS,-0.28%,12.85%,142.39%
1037,EGAS,1.00%,-11.32%,?
1038,DFS,-1.26%,19.52%,-49.87%
1039,MOTO,-21.32%,-79.77%,-68.52%
1040,STEX,2.73%,-2.38%,-0.76%
1041,CCT,7.96%,-6.30%,-9.14%
1042,EFYT,0.52%,13.68%,-2.24%
1043,WILD,1.39%,70.56%,51.79%
1044,MINEX,7.57%,1.40%,-49.63%
1045,BRAT,27.92%,-27.17%,-58.69%
1046,BLAZR,-0.28%,-1.97%,20.30%
1047,GRN,-0.42%,1.28%,10.83%
1048,PCS,-0.40%,-25.27%,-4.96%
1049,SIFT,-3.34%,-12.20%,-11.97%
1050,IQT,-2.23%,-7.31%,-1.10%
1051,XOT,-0.28%,-53.14%,-42.67%
1052,PRES,-0.29%,3.66%,96.97%
1053,VULC,-0.32%,-17.17%,?
1054,BITCF,-0.28%,0.85%,27.52%
1055,GARY,-0.28%,14.18%,22.47%
1056,ABC,-0.40%,1.53%,10.98%
1057,TESLA,-0.29%,30.60%,32.24%
1058,BTU,0.00%,-3.09%,-0.51%
1059,NXX,-15.83%,107.27%,1.33%
1060,TCOIN,-41.45%,-50.44%,18.07%
1061,FOR,48.19%,?,?
1062,WIC,0.94%,56.65%,-6.99%
1063,PAC,-2.77%,-7.32%,-9.85%
1064,NTC,-1.21%,-18.50%,?
1065,BTCM,5.65%,-58.71%,?
1066,QVT,-7.01%,6.14%,?
1067,EDOGE,102.01%,37.81%,?
1068,GMT,-33.91%,-24.66%,-50.01%
1069,FLASH,-0.28%,0.42%,29.62%
1070,FLAP,0.66%,-79.96%,165.83%
1071,BLX,0.48%,7.36%,0.52%
1072,PEC,-0.42%,56.41%,160.83%
1073,ZBC,-0.27%,-11.38%,-8.50%
1074,SWP,34.73%,33.97%,-17.77%
1075,FYP,2.27%,6.70%,?
1076,MARX,-0.28%,-3.47%,5.07%
1077,BAT,3.57%,7.93%,6.08%
1078,LEPEN,-0.28%,2.81%,-36.79%
1079,SND,-2.75%,19.30%,-15.97%
1080,MCI,-2.48%,8.58%,24.95%
1081,NAMO,-0.28%,-0.75%,-62.46%
1082,ACC,22.16%,23.78%,19.03%
1083,XQN,-0.42%,103.05%,41.50%
1084,HALLO,-0.28%,4.80%,9.37%
1085,AMS,17.19%,45.65%,-6.60%
1086,BSN,-0.28%,-38.74%,-46.02%
1087,OX,-2.85%,32.21%,-37.86%
1088,DUTCH,-0.28%,-12.97%,-32.25%
1089,EUSD,1.00%,0.59%,-57.27%
1090,RBBT,0.00%,-5.97%,0.60%
1091,EREAL,10.97%,10.82%,-80.99%
1092,APC,-0.42%,22.72%,43.60%
1093,BCCS,-3.69%,-9.40%,-68.97%
1094,GAY,11.10%,28.47%,8.77%
1095,ATMC,-0.28%,1.53%,?
1096,INDIA,-0.28%,-9.98%,19.89%
1097,MRJA,-0.42%,-6.92%,-38.22%
1098,CYDER,-0.28%,-28.21%,-25.48%
1099,COUPE,0.38%,31.16%,25.29%
1100,X2,-50.21%,-49.20%,24.69%
1101,CASH,1.00%,41.51%,?
1102,EXRN,1.00%,24.21%,-49.51%
1103,NTWK,1.00%,129.17%,-72.66%
1104,NBIT,-0.28%,1.10%,12.74%
1105,BXC,-12.22%,-24.14%,-17.63%
1106,MEN,-0.28%,35.38%,65.61%
1107,HNC,-0.28%,1.53%,45.83%
1108,SKULL,-2.28%,-0.90%,14.90%
1109,9COIN,-0.28%,9.50%,-64.23%
1110,XVE,-0.28%,-23.85%,-57.34%
1111,IRL,-0.42%,82.74%,26.83%
1112,SHND,-21.47%,-24.84%,13.44%
1113,RUNNERS,-0.28%,-23.85%,-26.90%
1114,TYC,-0.28%,-51.57%,-73.63%
1115,AMIS,0.92%,1073.28%,&gt; 9999%
1116,GBRC,-0.40%,1.52%,-37.90%
1117,PAYP,-0.42%,1.52%,?
1118,TLE,-0.28%,-27.79%,?
1119,UTA,-0.28%,7.88%,?
1120,10MT,-7.32%,7.68%,-51.56%
1121,BIT,-13.35%,-1.16%,12.35%
1122,ACN,-0.28%,1.54%,-5.97%
1123,ZENGOLD,-0.27%,15.63%,-9.48%
1124,MAGN,-0.40%,-37.03%,-39.71%
1125,SUR,-5.50%,7.80%,-25.12%
1126,PRIMU,-0.28%,-48.91%,-64.57%
1127,ETT,6.23%,-1.21%,-18.62%
1128,VOYA,-0.40%,4.50%,25.72%
1129,WEC,0.00%,15.21%,14.16%
1130,PRN,-0.21%,303.61%,126.02%
1131,SKC,-0.40%,-19.48%,-1.12%
1132,FFC,-0.40%,-12.37%,13.68%
1133,AIB,-1.49%,5.32%,-33.60%
1134,SFE,-0.40%,1.52%,24.51%
1135,YES,-1.65%,-65.09%,-91.03%
1136,GMX,-0.40%,-17.83%,-30.40%
1137,BITOK,-0.28%,1564.54%,23.92%
1138,RUBIT,0.79%,1.72%,21.28%
1139,FAP,-0.28%,-27.61%,?
1140,MRNG,-0.28%,-27.49%,-64.52%
1141,UR,-0.28%,1.62%,4.66%
1142,XDE2,-0.28%,-0.73%,?
1143,GUC,-0.28%,1.49%,-57.53%
1144,LDCN,-0.59%,16.77%,-5.97%
1145,PCN,-21.07%,-90.05%,?
1146,EGG,-0.42%,5.50%,?
1147,TOPAZ,0.32%,-1.06%,24.40%
1148,REGA,-0.40%,-0.36%,-3.51%
1149,BIRDS,-0.28%,-48.55%,6.82%
1150,LKC,-0.28%,1.53%,17.73%
1151,PRM,-0.40%,1.52%,49.05%
1152,TODAY,12.18%,14.23%,7.96%
1153,CBD,-0.29%,6.60%,-15.86%
1154,TELL,-0.28%,-13.97%,33.92%
1155,TOP,-0.40%,19.24%,24.21%
1156,ZSE,0.76%,-3.73%,12.12%
1157,MMXVI,-0.40%,3.94%,16.10%
1158,XAU,-0.42%,53.94%,77.43%
1159,SHELL,-0.40%,-4.08%,?
1160,TER,1.19%,2.55%,-14.14%
1161,EDRC,0.32%,13.71%,-8.54%
1162,TRICK,-0.40%,10.88%,52.02%
1163,OP,-0.42%,-15.40%,0.93%
1164,WOW,-0.28%,-19.12%,-51.84%
1165,DCRE,-0.42%,1.53%,?
1166,DON,-0.40%,9.94%,-3.63%
1167,XSTC,-0.28%,-49.18%,?
1168,CHEAP,-0.28%,-32.32%,-50.19%
1169,MBL,-0.28%,-1.76%,-6.41%
1170,AXF,-0.40%,?,?
1171,ITT,17.80%,7.80%,-64.64%
1172,HYPER,-0.40%,?,-37.96%
1173,UNRC,-0.28%,1.56%,-54.38%
1174,KARMA,-0.40%,1.42%,?
1175,HDLB,-0.28%,16.52%,6.91%
1176,BEST,-0.28%,5.41%,-30.18%
1177,ANTX,-0.57%,392.16%,53.05%
1178,SPORT,-0.40%,?,-3.40%
1179,NBE,-5.10%,295.72%,-8.68%
1180,HCC,-0.29%,-18.78%,?
1181,CLINT,-0.40%,1.52%,?
1182,CYC,-0.28%,-35.02%,?
1183,AV,-0.42%,0.82%,12.52%
1184,FONZ,-0.42%,?,3.50%
1185,ASN,-0.28%,1.53%,16.35%
1186,POKE,-0.40%,1.52%,86.32%
1187,ASC,0.66%,4.01%,-61.36%
1188,SNAKE,2.14%,27.48%,-21.47%
1189,SKR,0.21%,-0.23%,-13.34%
1190,SHA,-0.40%,1.52%,15.46%
1191,FRWC,-0.28%,-1.19%,3.99%
1192,AXIOM,-0.40%,1.52%,6.15%
1193,SAK,-1.08%,-11.68%,-14.58%
1194,ANI,-0.40%,52.28%,69.40%
1195,GOLF,-0.29%,?,?
1196,TURBO,-0.28%,1.52%,?
1197,XTD,-0.28%,?,?
1198,BUB,-0.40%,2.56%,-25.14%
1199,FAZZ,-0.28%,11.90%,3.42%
1200,UNC,-0.42%,1.52%,24.20%
1201,ACES,-0.29%,1.45%,-45.45%
1202,DBG,-0.40%,-1.86%,?
1203,QBT,-0.40%,-16.81%,-29.55%
1204,TEAM,-0.28%,1.53%,24.21%
1205,ELC,-0.40%,-7.94%,?
1206,ELTC2,1.00%,-8.08%,2.11%
1207,BET,-0.40%,-2.83%,-56.35%
1208,XID,-0.28%,1.53%,-30.92%
1209,MRC,-0.40%,1.52%,24.21%
1210,FUTC,-0.28%,6.88%,38.01%
1211,WINK,-0.28%,46.03%,24.21%
1212,QBC,-0.40%,7.49%,6.69%
1213,MAVRO,-0.28%,5.63%,34.21%
1214,MONETA,-0.40%,11.33%,38.51%
1215,KASHH,33.06%,-19.69%,-76.25%
1216,ROYAL,-0.28%,10.47%,33.95%
1217,RCN,-0.29%,1.52%,?
1218,MONEY,-0.28%,?,24.21%
1219,FC,1.00%,7.79%,148.12%
1220,DASHS,-0.28%,1.53%,38.42%
1221,VGC,-2.71%,-92.91%,-86.74%
1222,SYNC,?,0.09%,-43.72%
1223,QORA,0.67%,16.27%,33.43%
1224,GML,?,3.07%,21.71%
1225,WSX,?,3.35%,2.13%
1226,BGR,?,2.17%,-28.20%
1227,CC,?,?,11.94%
1228,DUB,?,2.15%,?
1229,IVZ,?,?,-36.62%
1230,CME,?,3.33%,26.93%
1231,OPES,?,3.79%,21.90%
1232,BAC,?,?,8.13%
1233,PSY,?,2.46%,26.10%
1234,TCR,?,3.14%,?
1235,OCOW,?,3.17%,?
1236,DISK,?,?,-24.86%
1237,SOUL,-0.45%,1.51%,?
