,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
74,XVG,$0.005298,Verge,75,"14,105,767,508","$3,012,850","$74,735,460"
75,GXS,$1.80,GXShares,76,"40,510,000*","$849,782","$72,922,051"
76,MCO,$6.93,Monaco,77,"9,814,875*","$3,331,880","$68,053,793"
77,KIN,$0.000086,Kin,78,"756,097,560,976*","$118,747","$64,866,668"
78,NXT,$0.062106,Nxt,79,"998,999,942*","$4,114,220","$62,044,190"
79,CTR,$0.904037,Centra,80,"68,000,000*","$762,224","$61,474,516"
80,PURA,$0.351898,Pura,81,"171,465,383","$417,670","$60,338,325"
81,ATM,$0.027746,ATMChain,82,"2,171,437,109*","$24,967","$60,248,911"
82,VEN,$0.209983,VeChain,83,"278,708,913*","$782,420","$58,524,134"
83,ANT,$1.76,Aragon,84,"32,832,390*","$473,142","$57,733,788"
84,ADX,$0.879217,AdEx,85,"56,275,759*","$4,776,270","$49,478,604"
85,UBQ,$1.27,Ubiq,86,"38,328,035","$449,249","$48,738,696"
86,IOC,$2.96,I/O Coin,87,"16,372,454*","$430,222","$48,495,700"
87,VTC,$1.18,Vertcoin,88,"40,272,850","$2,314,790","$47,675,000"
88,MLN,$78.86,Melon,89,"599,400*","$656,695","$47,271,022"
89,WINGS,$0.512253,Wings,90,"89,708,333*","$742,784","$45,953,363"
90,LRC,$0.155537,Loopring,91,"286,170,756*","$845,613","$44,510,141"
91,TAAS,$5.34,TaaS,92,"8,146,001*","$357,867","$43,472,518"
92,EDG,$0.529382,Edgeless,93,"82,046,288*","$1,518,390","$43,433,828"
93,SNM,$0.120547,SONM,94,"359,600,000*","$1,213,700","$43,348,701"
94,STORJ,$0.427605,Storj,95,"99,331,163*","$955,380","$42,474,502"
95,RBY,$1.70,Rubycoin,96,"24,864,666*","$1,930,510","$42,392,018"
96,SPRTS,$0.000056,Sprouts,97,"750,466,848,108*","$1,977","$42,325,805"
97,PART,$5.46,Particl,98,"7,735,454*","$198,965","$42,238,985"
98,RLC,$0.522096,iExec RLC,99,"79,070,793*","$289,211","$41,282,545"
99,NAV,$0.659657,NAV Coin,100,"61,885,369*","$1,217,750","$40,823,117"
100,BQX,$0.563626,Bitquence,101,"71,637,960*","$534,194","$40,377,017"
101,ATB,$1.02,ATBCoin,102,"38,300,643","$770,481","$39,212,581"
102,MGO,$0.387387,MobileGo,103,"98,028,887*","$366,966","$37,975,116"
103,FAIR,$0.710387,FairCoin,104,"53,193,831*","$22,084","$37,788,206"
104,DCN,$0.000121,Dentacoin,105,"303,095,254,787*","$27,248","$36,656,037"
105,NLG,$0.097450,Gulden,106,"354,341,645","$186,492","$34,530,700"
106,PPC,$1.33,Peercoin,107,"24,381,535","$998,663","$32,496,198"
107,CFI,$0.099006,Cofound.it,108,"325,000,000*","$261,588","$32,176,820"
108,MDA,$1.63,Moeda Loyalty...,109,"19,628,888*","$698,274","$32,018,053"
109,CLOAK,$6.24,CloakCoin,110,"5,116,127*","$353,086","$31,947,605"
110,KICK,$0.098130,KickCoin,111,"321,137,782*","$91,790","$31,513,186"
111,XZC,$9.78,ZCoin,112,"3,198,952","$1,194,080","$31,283,252"
112,RDD,$0.001080,ReddCoin,113,"28,641,106,777*","$860,867","$30,921,798"
113,RISE,$0.268803,Rise,114,"113,139,200*","$685,834","$30,412,156"
114,CND,$0.021016,Cindicator,115,"1,445,976,590*","$863,728","$30,388,210"
115,XEL,$0.345021,Elastic,116,"86,976,062*","$631,811","$30,008,568"
116,TKN,$1.21,TokenCard,117,"23,644,056*","$454,757","$28,699,864"
117,QRL,$0.542917,Quantum Resis...,118,"52,000,000*","$401,605","$28,231,684"
118,UNITY,$34.56,SuperNET,119,"816,061*",$727,"$28,205,427"
119,CREDO,$0.050642,Credo,120,"549,891,703*","$17,801","$27,847,836"
120,SUB,$0.116521,Substratum,121,"226,091,449*","$713,085","$26,344,402"
121,AEON,$1.79,Aeon,122,"14,651,140","$470,623","$26,153,018"
122,NEBL,$2.06,Neblio,123,"12,456,656*","$94,571","$25,622,718"
123,CMP,$5.89,Compcoin,124,"4,283,880","$331,296","$25,243,834"
124,DMD,$10.24,Diamond,125,"2,465,031","$115,171","$25,232,800"
125,NLC2,$0.122974,NoLimitCoin,126,"203,918,786*","$70,922","$25,076,709"
126,TNT,$0.058746,Tierion,127,"422,513,667*","$332,243","$24,821,072"
127,MTH,$0.110753,Monetha,128,"216,819,832*","$465,562","$24,013,447"
128,BMC,$0.798029,Blackmoon Crypto,129,"30,049,251*","$769,925","$23,980,174"
129,XRL,$0.282006,Rialto,130,"85,000,000*","$51,670","$23,970,510"
130,TRST,$0.254232,WeTrust,131,"92,147,500*","$495,865","$23,426,843"
131,1ST,$0.270696,FirstBlood,132,"85,558,371*","$592,351","$23,160,309"
132,PPP,$0.278626,PayPie,133,"82,500,000*","$164,714","$22,986,645"
133,XAUR,$0.180095,Xaurum,134,"127,109,386*","$134,618","$22,891,765"
134,SIB,$1.46,SIBCoin,135,"15,608,229","$174,233","$22,776,776"
135,ION,$1.34,ION,136,"16,869,822*","$41,076","$22,640,313"
136,TCC,$0.137247,The ChampCoin,137,"164,925,727*","$277,908","$22,635,561"
137,XAS,$0.301659,Asch,138,"75,000,000","$15,860","$22,624,425"
138,CDT,$0.040700,CoinDash,139,"555,015,474*","$382,293","$22,588,908"
139,MANA,$0.009902,Decentraland,140,"2,273,755,650*","$273,272","$22,514,956"
140,CRW,$1.44,Crown,141,"15,590,035","$83,615","$22,395,709"
141,BAY,$0.022160,BitBay,142,"1,007,780,364*","$154,429","$22,332,211"
142,TGT,$0.023404,Target Coin,143,"952,429,892*","$6,848","$22,290,479"
143,DCT,$0.433623,DECENT,144,"51,306,089*","$167,406","$22,247,500"
144,EMC,$0.536145,Emercoin,145,"40,840,286","$495,101","$21,896,315"
145,XCP,$8.29,Counterparty,146,"2,617,623*","$320,832","$21,689,204"
146,VIA,$0.947142,Viacoin,147,"22,854,997","$1,239,230","$21,646,927"
147,ADT,$0.035164,adToken,148,"600,000,000*","$112,306","$21,098,640"
148,PTOY,$0.297017,Patientory,149,"70,000,000*","$1,306,590","$20,791,190"
149,DNT,$0.034506,district0x,150,"600,000,000*","$436,838","$20,703,300"
150,EVX,$1.25,Everex,151,"16,500,000*","$720,282","$20,695,125"
151,SAFEX,$0.009541,Safe Exchange...,152,"2,147,483,647*","$221,863","$20,488,841"
152,LEO,$0.222780,LEOcoin,153,"91,584,173*","$31,006","$20,403,122"
153,SKY,$3.41,Skycoin,154,"5,933,198*","$26,289","$20,224,255"
154,DICE,$2.86,Etheroll,155,"7,001,623*","$47,244","$20,027,862"
155,EMC2,$0.091191,Einsteinium,156,"214,736,824","$5,527,690","$19,582,173"
156,XPA,$0.019471,XPlay,157,"1,000,000,000*","$107,394","$19,471,000"
157,SMART,$0.028844,SmartCash,158,"658,960,288*","$48,436","$19,006,985"
158,OMNI,$32.58,Omni,159,"559,915*","$13,897,300","$18,244,153"
159,STX,$0.608334,Stox,160,"29,600,000*","$1,068,120","$18,006,686"
160,NMC,$1.16,Namecoin,161,"14,736,400","$381,325","$17,149,043"
161,ECN,$3.99,E-coin,162,"4,215,894","$42,623","$16,822,640"
162,CLAM,$6.31,Clams,163,"2,659,684*","$14,965,400","$16,786,572"
163,MSP,$0.119200,Mothership,164,"140,000,000*","$213,799","$16,688,000"
164,SAN,$0.284805,Santiment Net...,165,"55,967,968*","$916,436","$15,939,957"
165,ZEN,$7.06,ZenCash,166,"2,229,310","$461,669","$15,743,632"
166,VIB,$0.129536,Viberate,167,"120,000,000*","$156,009","$15,544,320"
167,POE,$0.007202,Po.et,168,"2,136,283,004*","$51,845","$15,385,767"
168,MUE,$0.121561,MonetaryUnit,169,"125,997,566","$282,353","$15,316,390"
169,VOISE,$0.023624,Voise,170,"643,012,000*","$272,045","$15,190,837"
170,POT,$0.068628,PotCoin,171,"218,247,039","$162,257","$14,977,945"
171,PLBT,$3.91,Polybius,172,"3,808,454*","$21,593","$14,882,180"
172,PPY,$3.88,Peerplays,173,"3,815,193*","$3,508","$14,791,998"
173,AVT,$2.46,Aventus,174,"6,000,000*","$2,857,170","$14,742,840"
174,RVT,$0.560966,Rivetz,175,"26,244,468*","$30,622","$14,722,254"
175,NMR,$11.76,Numeraire,176,"1,248,667*","$435,824","$14,683,203"
176,PLR,$0.064241,Pillar,177,"227,384,800*","$42,872","$14,607,336"
177,TRIG,$0.454648,Triggers,178,"32,105,578*","$660,570","$14,596,737"
178,EXP,$1.84,Expanse,179,"7,906,397","$380,142","$14,558,522"
179,SLS,$14.38,SaluS,180,"1,004,402*","$29,222","$14,441,193"
180,TIME,$19.87,Chronobank,181,"710,113*","$614,353","$14,110,865"
181,HMQ,$0.082948,Humaniq,182,"162,858,880*","$216,896","$13,508,835"
182,GOLOS,$0.108051,Golos,183,"124,518,891","$358,162","$13,454,391"
183,DLT,$0.155778,Agrello,184,"85,978,873*","$21,951","$13,393,617"
184,OK,$0.182808,OKCash,185,"73,025,670*","$1,440,560","$13,349,677"
185,BLK,$0.174123,BlackCoin,186,"76,426,139*","$498,378","$13,307,549"
186,KORE,$6.50,Kore,187,"2,021,166*","$1,652,530","$13,136,528"
187,QAU,$0.164551,Quantum,188,"79,522,355*","$111,954","$13,085,483"
188,TOA,$0.007506,ToaCoin,189,"1,715,364,716","$33,935","$12,875,476"
189,SOAR,$0.016765,Soarcoin,190,"763,073,048*","$2,120","$12,792,996"
190,LUN,$5.49,Lunyr,191,"2,297,853*","$287,064","$12,617,948"
191,ENRG,$0.102349,Energycoin,192,"121,297,825","$310,131","$12,414,711"
192,PZM,$1.29,PRIZM,193,"9,556,435*","$3,123","$12,334,969"
193,OAX,$0.488713,OAX,194,"25,009,250*","$178,416","$12,222,345"
194,RADS,$3.52,Radium,195,"3,365,346*","$230,318","$11,859,985"
195,GRC,$0.029986,GridCoin,196,"390,312,753","$356,048","$11,704,113"
196,MYST,$0.601772,Mysterium,197,"19,429,024*","$283,921","$11,691,843"
197,AIR,$0.011041,AirToken,198,"1,050,000,000*","$197,079","$11,593,470"
198,BURST,$0.006434,Burst,199,"1,800,339,818","$419,765","$11,583,062"
199,AGRS,$0.274380,Agoras Tokens,200,"42,000,000*","$118,957","$11,523,960"
200,SHIFT,$0.997899,Shift,201,"11,286,798*","$119,515","$11,263,084"
201,GAM,$9.38,Gambit,202,"1,195,360*","$221,286","$11,209,091"
202,LBC,$0.162539,LBRY Credits,203,"68,524,524","$1,106,260","$11,137,908"
203,SWT,$1.45,Swarm City,204,"7,648,022*","$36,673","$11,115,559"
204,XDN,$0.001605,DigitalNote,205,"6,885,695,758","$3,615,750","$11,052,712"
205,UNO,$55.58,Unobtanium,206,"197,826","$187,725","$10,995,566"
206,JINN,$185.59,Jinn,207,"58,703*",$928,"$10,894,925"
207,NXC,$0.162331,Nexium,208,"66,521,586*","$260,087","$10,798,516"
208,BCAP,$1.07,BCAP,209,"10,000,000*","$44,824","$10,712,300"
209,IFT,$0.055889,InvestFeed,210,"191,381,257*","$84,391","$10,696,164"
210,GUP,$0.141624,Matchpool,211,"75,000,000*","$488,962","$10,621,800"
211,DTB,$0.466253,Databits,212,"22,747,809*","$85,279","$10,606,234"
212,CSNO,$0.151451,BitDice,213,"70,000,000*","$77,315","$10,601,570"
213,PST,$0.205214,Primas,214,"51,200,000*","$2,420","$10,506,957"
214,ODN,$0.415581,Obsidian,215,"24,400,000*","$261,495","$10,140,176"
215,PGL,$0.155992,Prospectors Gold,216,"64,500,000*","$1,560","$10,061,484"
216,XRB,$0.080118,RaiBlocks,217,"124,055,296","$71,394","$9,939,124"
217,PEPECASH,$0.014113,Pepe Cash,218,"701,884,009*","$13,339","$9,905,619"
218,DIME,$0.000018,Dimecoin,219,"535,729,206,800","$19,739","$9,817,934"
219,AMP,$0.118593,Synereo,220,"82,256,324*","$447,397","$9,755,024"
220,VRC,$0.320705,VeriCoin,221,"30,398,364","$394,532","$9,748,907"
221,FLO,$0.069439,FlorinCoin,222,"138,583,087","$278,696","$9,623,043"
222,MOON,$0.000043,Mooncoin,223,"222,390,160,825","$12,851","$9,619,486"
223,SPHR,$3.07,Sphere,224,"3,082,940*","$27,169","$9,461,143"
224,LMC,$0.043247,LoMoCoin,225,"217,425,757*","$496,464","$9,402,947"
225,PLU,$10.77,Pluton,226,"850,000*","$87,462","$9,152,965"
226,EDR,$0.010178,E-Dinar Coin,227,"886,211,988","$691,596","$9,020,043"
227,BET,$0.081778,DAO.Casino,228,"109,942,758*","$13,796","$8,990,910"
228,WCT,$0.892646,Waves Communi...,229,"9,993,840*","$33,376","$8,920,961"
229,WGR,$0.048655,Wagerr,230,"183,000,000*","$58,624","$8,903,792"
230,XSPEC,$0.419301,Spectrecoin,231,"20,446,404*","$33,531","$8,573,198"
231,NET,$0.805733,Nimiq,232,"10,500,000*","$118,616","$8,460,197"
232,PIX,$0.074372,Lampix,233,"113,322,017*","$41,624","$8,427,962"
233,ECOB,$0.018948,Ecobit,234,"444,444,444*","$1,999","$8,421,244"
234,BSD,$0.500804,BitSend,235,"16,784,400","$76,030","$8,405,695"
235,NVST,$0.549591,NVO,236,"15,000,000*","$2,782","$8,243,865"
236,CNT,$0.113694,Centurion,237,"71,956,840","$37,353","$8,181,061"
237,VSL,$0.242735,vSlice,238,"33,390,496*","$232,849","$8,105,042"
238,HEAT,$0.274865,HEAT,239,"29,417,608*","$6,008","$8,085,871"
239,CSC,$0.207284,CasinoCoin,240,"38,601,187","$30,393","$8,001,408"
