,Simbol,Preu,Nom,Numero,Oferta circulant,Volum 24 hores,Cap de mercat
336,DOPE,$0.028132,DopeCoin,337,"111,085,648*","$138,598","$3,125,106"
337,TRUST,$0.095590,TrustPlus,338,"32,086,595*","$86,954","$3,067,148"
338,COSS,$0.168244,COSS,339,"18,070,157*","$2,095,320","$3,040,195"
339,VRM,$2.30,VeriumReserve,340,"1,317,976","$700,466","$3,036,498"
340,PUT,$0.014926,PutinCoin,341,"200,698,864","$3,783","$2,995,551"
341,2GIVE,$0.005747,2GIVE,342,"516,512,943","$21,780","$2,968,591"
342,BRX,$0.470247,Breakout Stake,343,"6,268,082*","$24,432","$2,947,547"
343,MBRS,$0.057731,Embers,344,"50,000,000*","$3,455","$2,886,560"
344,EGC,$0.209133,EverGreenCoin,345,"13,321,301","$39,682","$2,785,924"
345,BTM,$0.407223,Bitmark,346,"6,835,620","$17,031","$2,783,622"
346,GEO,$0.846495,GeoCoin,347,"3,249,925","$85,713","$2,751,045"
347,XPM,$0.127032,Primecoin,348,"20,938,602","$606,038","$2,659,873"
348,BLU,$0.004601,BlueCoin,349,"574,683,675","$3,222","$2,644,395"
349,MINT,$0.000106,Mintcoin,350,"24,913,526,423*","$1,222","$2,641,681"
350,NDC,$0.064254,NEVERDIE,351,"41,004,100*","$25,822","$2,634,686"
351,RMC,$1.31,Remicoin,352,"1,979,224*","$5,415","$2,596,287"
352,SMLY,$0.000099,SmileyCoin,353,"25,960,250,000","$2,371","$2,577,604"
353,B3,$0.010663,B3Coin,354,"238,622,157","$50,862","$2,544,333"
354,MEME,$0.146283,Memetic,355,"16,458,796","$103,935","$2,407,642"
355,CHIPS,$0.147761,CHIPS,356,"16,220,620","$24,272","$2,396,775"
356,STA,$0.467174,Starta,357,"5,063,779*","$9,685","$2,365,666"
357,ZEIT,$0.000064,Zeitcoin,358,"36,971,143,088","$3,746","$2,363,887"
358,VTR,$0.215958,vTorrent,359,"10,815,966","$74,403","$2,335,794"
359,ESP,$0.000113,Espers,360,"20,676,036,461","$14,526","$2,334,635"
360,ATMS,$0.023017,Atmos,361,"100,244,364*","$5,220","$2,307,335"
361,CANN,$0.029094,CannabisCoin,362,"77,231,176","$85,115","$2,246,987"
362,BRK,$0.121875,Breakout,363,"18,142,083","$60,312","$2,211,066"
363,PING,$0.221163,CryptoPing,364,"9,952,089*","$123,100","$2,201,034"
364,ZENI,$0.002162,Zennies,365,"1,000,812,836*","$8,814","$2,163,747"
365,AHT,$0.269549,Bowhead,366,"8,000,000*",$635,"$2,156,392"
366,TKS,$1.88,Tokes,367,"1,133,007*","$63,284","$2,128,025"
367,REX,$0.245633,REX,368,"8,660,756*","$3,012","$2,127,367"
368,ETBS,$1.49,Ethbits,369,"1,391,604*","$1,650","$2,072,153"
369,BASH,$0.002842,LuckChain,370,"710,577,278","$1,275","$2,019,354"
370,JNS,$0.088522,Janus,371,"22,638,595*","$1,178","$2,004,007"
371,EFL,$0.128448,e-Gulden,372,"15,493,999","$197,754","$1,990,173"
372,CREA,$0.158653,Creativecoin,373,"12,543,832","$1,799","$1,990,117"
373,MXT,$0.709953,MarteXcoin,374,"2,766,592","$10,427","$1,964,150"
374,NAUT,$0.117015,NautilusCoin,375,"16,180,000*","$68,630","$1,893,303"
375,OCL,$0.038549,Oceanlab,376,"46,500,000*","$32,192","$1,792,547"
376,XMG,$0.239377,Magi,377,"7,483,221","$65,402","$1,791,311"
377,SIGT,$0.016525,Signatum,378,"107,972,766*","$38,807","$1,784,207"
378,CCRB,$0.498157,CryptoCarbon,379,"3,562,111*","$42,275","$1,774,491"
379,ADST,$0.141780,AdShares,380,"12,457,419*","$8,798","$1,766,213"
380,808,$0.001932,808Coin,381,"910,624,824","$15,189","$1,759,582"
381,WTT,$1.95,Giga Watt Token,382,"900,000*","$30,325","$1,752,390"
382,ADC,$0.002084,AudioCoin,383,"823,181,664",$808,"$1,715,897"
383,LINDA,$0.000285,Linda,384,"6,003,429,666","$20,302","$1,708,648"
384,START,$0.037415,Startcoin,385,"45,079,785","$86,190","$1,686,660"
385,EOT,$0.669961,EOT Token,386,"2,500,000*","$40,464","$1,674,903"
386,HYP,$0.001636,HyperStake,387,"1,020,036,396*","$4,348","$1,668,810"
387,ELIX,$0.079648,Elixir,388,"20,944,351*","$69,169","$1,668,178"
388,SXC,$0.013322,Sexcoin,389,"124,838,957","$11,933","$1,663,105"
389,RIC,$0.043021,Riecoin,390,"37,993,725","$130,983","$1,634,532"
390,CBX,$1.61,Crypto Bullion,391,"1,002,710","$1,364","$1,615,968"
391,MGC,$0.016572,MergeCoin,392,"95,000,000*","$596,839","$1,574,331"
392,VIVO,$3.69,VIVO,393,"424,457","$34,667","$1,567,949"
393,PND,$0.000048,Pandacoin,394,"32,514,916,898",$928,"$1,559,282"
394,LNK,$32.67,Link Platform,395,"47,503*","$1,987","$1,551,737"
395,MER,$0.015410,Mercury,396,"100,000,000*","$3,534","$1,540,980"
396,HPC,$0.122752,Happycoin,397,"12,257,746","$86,762","$1,504,663"
397,RNS,$0.044271,Renos,398,"33,356,077*","$9,807","$1,476,717"
398,MNE,$1.28,Minereum,399,"1,154,293*","$27,718","$1,476,213"
399,UNIFY,$0.082559,Unify,400,"17,733,472*","$24,898","$1,464,049"
400,LGD,$0.730745,Legends Room,401,"2,000,000*","$250,498","$1,461,490"
401,ICOO,$3.08,ICO OpenLedger,402,"465,858*",$671,"$1,436,506"
402,HUC,$0.072914,HunterCoin,403,"19,596,940","$41,675","$1,428,895"
403,XP,$0.000009,XP,404,"152,738,734,624","$2,876","$1,367,841"
404,SKIN,$0.015114,SkinCoin,405,"88,183,483*","$50,363","$1,332,805"
405,ONX,$0.048195,Onix,406,"27,432,814","$17,434","$1,322,133"
406,1337,$0.000056,1337,407,"23,271,965,570*","$7,777","$1,308,934"
407,ADZ,$0.028914,Adzcoin,408,"45,171,607","$2,206","$1,306,083"
408,INXT,$2.03,Internxt,409,"629,610*","$69,023","$1,276,754"
409,KOBO,$0.051074,Kobocoin,410,"24,700,248*","$2,449","$1,261,540"
410,FST,$0.009942,Fastcoin,411,"126,000,000","$4,265","$1,252,692"
411,MAO,$0.201295,Mao Zedong,412,"6,215,757","$9,411","$1,251,201"
412,MRT,$0.115477,Miners&#39; Rewar...,413,"10,000,000*","$22,237","$1,154,770"
413,EBTC,$0.055529,eBTC,414,"20,564,300*","$192,333","$1,141,907"
414,INFX,$0.675862,Influxcoin,415,"1,673,383","$129,137","$1,130,976"
415,XMCC,$0.496784,MonacoCoin,416,"2,270,759","$7,774","$1,128,077"
416,DAR,$0.081882,Darcrus,417,"13,600,388*","$659,541","$1,113,632"
417,IFC,$0.000012,Infinitecoin,418,"90,596,274,910","$2,467","$1,111,517"
418,XHI,$0.005797,HiCoin,419,"189,729,990","$53,888","$1,099,795"
419,CRM,$0.024577,Cream,420,"44,580,727","$1,510","$1,095,669"
420,DOT,$0.004232,Dotcoin,421,"256,624,000*","$14,315","$1,086,069"
421,WDC,$0.009255,WorldCoin,422,"115,957,191","$4,602","$1,073,220"
422,NETKO,$0.268030,Netko,423,"3,996,865","$8,961","$1,071,280"
423,GRWI,$1.02,Growers Inter...,424,"1,043,825*","$11,240","$1,063,731"
424,RUP,$0.047908,Rupee,425,"22,010,450","$12,584","$1,054,483"
425,ZCC,$0.017028,ZcCoin,426,"61,657,044","$1,241,280","$1,049,896"
426,CPC,$0.524254,Capricoin,427,"1,990,045*","$68,291","$1,043,289"
427,BYC,$0.573879,Bytecent,428,"1,815,746","$29,014","$1,042,019"
428,ARC,$0.041568,ArcticCoin,429,"24,465,325","$15,673","$1,016,980"
429,BRIT,$0.047738,BritCoin,430,"21,268,092",$931,"$1,015,296"
430,SUMO,$0.547671,Sumokoin,431,"1,799,399","$9,593","$985,479"
431,EBET,$0.114068,EthBet,432,"8,502,300*","$5,166","$969,840"
432,USNBT,$0.986245,NuBits,433,"960,923*","$118,350","$947,706"
433,TES,$0.012592,TeslaCoin,434,"73,153,932",$815,"$921,125"
434,ETHD,$0.607260,Ethereum Dark,435,"1,500,000","$480,263","$910,890"
435,INSN,$0.053489,InsaneCoin,436,"16,859,522","$6,725","$901,794"
436,STRC,$0.200159,StarCredits,437,"4,500,000*","$1,656","$900,716"
437,DCY,$0.000631,Dinastycoin,438,"1,418,203,787","$1,209","$895,486"
438,MEC,$0.024095,Megacoin,439,"35,990,300","$1,843","$867,175"
439,ZOI,$0.059479,Zoin,440,"14,272,050","$15,322","$848,889"
440,HNC,$0.015344,Helleniccoin,441,"55,200,000","$2,778","$847,011"
441,LDOGE,$0.000057,LiteDoge,442,"14,861,938,007*","$14,393","$844,415"
442,FUCK,$0.016269,FuckToken,443,"51,393,081*","$5,058","$836,135"
443,FJC,$0.000734,FujiCoin,444,"1,134,217,697","$2,145","$832,739"
444,KEK,$0.079904,KekCoin,445,"10,236,085*",$632,"$817,908"
445,FAL,$4.15,Falcoin,446,"196,766","$904,072","$816,670"
446,VSX,$0.008088,Vsync,447,"98,964,274","$3,445","$800,434"
447,XFT,$0.175549,Footy Cash,448,"4,527,695","$7,019","$794,832"
448,TKR,$0.064976,Trackr,449,"12,079,528*","$14,468","$784,877"
449,BTA,$0.155441,Bata,450,"4,979,480","$52,203","$774,015"
450,BRO,$0.131837,Bitradio,451,"5,740,318*","$2,290","$756,786"
451,POS,$1.30,PoSToken,452,"578,962*","$10,987","$751,533"
452,TIPS,$0.000002,FedoraCoin,453,"443,168,182,458","$2,100","$746,051"
453,TZC,$0.010059,TrezarCoin,454,"73,483,500","$2,324","$739,178"
454,BLAS,$0.002960,BlakeStar,455,"242,713,786","$159,815","$718,319"
455,XBL,$0.213092,Billionaire T...,456,"3,315,372*","$5,660","$706,479"
456,FCN,$0.113662,Fantomcoin,457,"6,190,179","$1,100","$703,588"
457,TYCHO,$0.139236,Tychocoin,458,"5,024,368","$24,869","$699,573"
458,MOIN,$0.096708,Moin,459,"7,192,514*","$1,797","$695,575"
459,KRB,$0.146759,Karbowanec,460,"4,525,269","$20,017","$664,124"
460,DP,$0.038749,DigitalPrice,461,"16,581,474*","$6,134","$642,514"
461,DDF,$0.124645,DigitalDevelo...,462,"5,118,307*","$1,936","$637,971"
462,HTC,$0.000057,HitCoin,463,"10,996,318,099","$10,402","$624,932"
463,TRI,$8.32,Triangles,464,"72,891","$5,802","$606,784"
464,NTO,$0.009109,Fujinto,465,"65,802,448*","$619,048","$599,392"
465,UNB,$0.254376,UnbreakableCoin,466,"2,278,150","$223,805","$579,507"
466,RLT,$0.054771,RouletteToken,467,"10,120,455*","$7,830","$554,309"
467,NYC,$0.000004,NewYorkCoin,468,"129,032,781,759",$684,"$547,948"
468,CWXT,$0.009155,CryptoWorldX ...,469,"57,385,690*","$11,155","$525,338"
469,NOBL,$0.000227,NobleCoin,470,"2,307,486,194","$2,293","$524,559"
470,DNR,$0.310584,Denarius,471,"1,661,458","$6,515","$516,022"
471,RUSTBITS,$0.014573,Rustbits,472,"35,300,866*",$504,"$514,422"
472,LINX,$0.057543,Linx,473,"8,811,700","$8,671","$507,052"
473,NET,$0.000625,NetCoin,474,"787,126,712","$2,834","$492,189"
474,42,$11081.90,42-coin,475,41.999999,"$4,034","$465,440"
475,JET,$0.104733,Jetcoin,476,"4,371,787*","$1,933","$457,870"
476,POST,$0.028594,PostCoin,477,"15,868,233*","$3,445","$453,739"
477,WGO,$0.044436,WavesGo,478,"9,995,510*","$2,571","$444,161"
478,UIS,$0.009470,Unitus,479,"46,785,866","$1,660","$443,081"
479,ECA,$0.000021,Electra,480,"20,674,233,083",$550,"$436,493"
480,XVP,$0.047270,Virtacoinplus,481,"9,134,750","$4,214","$431,801"
481,ZER,$0.252251,Zero,482,"1,696,930",$706,"$428,052"
482,FXE,$1.78,FuturXe,483,"235,421*","$13,103","$418,814"
483,NEWB,$0.008241,Newbium,484,"50,000,000*","$4,542","$412,031"
484,PIE,$0.014661,PIECoin,485,"27,726,507*",$885,"$406,490"
485,EMP,$0.044044,EMoneyPower,486,"9,200,000*",$619,"$405,205"
486,DAXX,$0.000826,DaxxCoin,487,"490,246,810","$2,631","$404,947"
487,SCORE,$0.013253,Scorecoin,488,"30,346,591","$16,904","$402,196"
488,DAS,$0.153657,DAS,489,"2,591,226",$975,"$398,160"
489,BUCKS,$1.37,SwagBucks,490,"288,061",$679,"$394,883"
490,MAC,$0.019493,Machinecoin,491,"20,011,025",$620,"$390,079"
491,PROC,$0.030205,ProCurrency,492,"12,815,205*","$45,243","$387,086"
492,VLT,$0.688451,Veltor,493,"554,855","$1,130","$381,990"
493,TRUMP,$0.058042,TrumpCoin,494,"6,545,407","$2,494","$379,908"
494,DALC,$0.914180,Dalecoin,495,"400,000*","$10,010","$365,672"
495,DEM,$0.013156,Deutsche eMark,496,"27,793,416","$1,578","$365,650"
496,ENT,$0.090809,Eternity,497,"3,998,292",$964,"$363,080"
497,RBIES,$0.034818,Rubies,498,"10,415,252*","$6,030","$362,637"
498,WOMEN,$0.015031,WomenCoin,499,"23,870,835","$9,699","$358,791"
499,ICE,$0.227441,iDice,500,"1,571,013*","$22,722","$357,313"
500,XLR,$0.630824,Solaris,501,"564,966","$5,559","$356,394"
501,PAK,$0.008444,Pakcoin,502,"42,190,900",$747,"$356,250"
502,BITS,$0.014030,Bitstar,503,"23,079,737","$1,052","$323,806"
503,ATOM,$0.025746,Atomic Coin,504,"12,295,249","$3,418","$316,558"
504,TIT,$0.005972,Titcoin,505,"49,898,202",$709,"$297,975"
505,SWING,$0.113813,Swing,506,"2,616,967","$1,325","$297,845"
506,BITBTC,$6015.61,bitBTC,507,47.662*,"$63,733","$286,716"
507,DSH,$0.015612,Dashcoin,508,"17,574,970",$695,"$274,384"
508,XPTX,$0.801086,PlatinumBAR,509,"325,538","$2,162","$260,784"
509,BLN,$0.025858,Bolenum,510,"10,000,000*","$4,816","$258,581"
510,HODL,$0.001875,HOdlcoin,511,"137,735,630","$1,108","$258,312"
511,MOJO,$0.021313,MojoCoin,512,"12,112,646*","$3,558","$258,151"
512,FRN,$0.066626,Francs,513,"3,867,080","$4,767","$257,647"
513,ITZ,$0.347417,Interzone,514,"706,209","$6,132","$245,349"
514,XCS,$0.022278,CybCSec,515,"10,496,797*","$45,093","$233,844"
515,SHDW,$0.033109,Shadow Token,516,"7,000,000*","$1,023","$231,764"
516,DLC,$0.024380,Dollarcoin,517,"9,106,714",$532,"$222,026"
517,XCXT,$0.015929,CoinonatX,518,"13,796,293","$4,779","$219,763"
518,FLT,$0.000682,FlutterCoin,519,"322,214,524",$525,"$219,741"
519,PR,$1.10,Prototanium,520,"195,520",$613,"$215,649"
520,EL,$0.019086,Elcoin,521,"11,208,967*","$1,153","$213,937"
521,MAY,$0.009883,Theresa May Coin,522,"21,375,400","$2,635","$211,243"
522,RUPX,$0.035118,Rupaya,523,"6,014,150",$734,"$211,204"
523,RBX,$0.000552,Ripto Bux,524,"381,236,123*","$1,747","$210,573"
524,FC2,$0.002046,FuelCoin,525,"101,578,000",$517,"$207,820"
525,BTWTY,"$204,294",Bit20,526,1.016*,"$1,263","$207,563"
526,LANA,$0.000249,LanaCoin,527,"817,623,120","$1,213","$203,223"
527,BRIA,$0.515774,BriaCoin,528,"388,623*","$4,194","$200,442"
528,XRA,$0.001762,Ratecoin,529,"112,223,588*",$814,"$197,742"
529,BOLI,$0.024579,Bolivarcoin,530,"7,857,975","$2,070","$193,143"
530,BBP,$0.000966,BiblePay,531,"197,749,745","$1,279","$191,051"
531,CCN,$0.039528,Cannacoin,532,"4,699,339","$3,975","$185,755"
532,DRACO,$0.002059,DT Token,533,"88,888,888*","$46,734","$183,065"
533,TEK,$0.000115,TEKcoin,534,"1,414,054,562","$27,678","$163,025"
534,CTO,$0.013242,Crypto,535,"11,531,097","$1,419","$152,690"
535,BITSILVER,$16.74,bitSilver,536,"8,820*","$1,320","$147,650"
536,VUC,$0.002337,Virta Unique ...,537,"61,126,100","$3,120","$142,845"
537,LTB,$0.186577,LiteBar,538,"757,769",$710,"$141,382"
538,XCO,$0.011377,X-Coin,539,"12,384,976*",$714,"$140,901"
539,PXI,$0.008121,Prime-XI,540,"16,958,615",$651,"$137,719"
540,SLM,$0.009150,Slimcoin,541,"14,937,439","$3,018","$136,674"
541,REE,$0.000053,ReeCoin,542,"2,560,000,000","$2,423","$136,611"
542,UNITS,$0.038561,GameUnits,543,"3,472,983*",$539,"$133,922"
543,ZNY,$0.001705,Bitzeny,544,"75,614,500","$1,988","$128,917"
544,BLC,$0.008495,Blakecoin,545,"15,122,697",$764,"$128,466"
545,BSTY,$0.009572,GlobalBoost-Y,546,"12,861,417",$995,"$123,108"
546,XCT,$0.000770,C-Bit,547,"157,223,250","$1,772","$121,132"
547,XJO,$0.003356,Joulecoin,548,"34,004,616","$3,384","$114,128"
548,ECO,$0.107984,EcoCoin,549,"1,040,243","$1,169","$112,330"
549,QCN,$0.017049,QuazarCoin,550,"6,044,911","$1,795","$103,061"
550,YAC,$0.000852,Yacoin,551,"119,056,560",$570,"$101,492"
551,CON,$0.004329,PayCon,552,"23,042,604*",$650,"$99,762"
552,BTPL,$0.018680,Bitcoin Planet,553,"5,206,415","$1,667","$97,257"
553,PRC,$0.006763,PRCoin,554,"13,914,200","$20,132","$94,100"
554,STV,$0.013147,Sativacoin,555,"7,084,813","$9,123","$93,147"
555,DRXNE,$0.001478,DROXNE,556,"60,619,194*","$1,466","$89,614"
556,BITEUR,$1.27,bitEUR,557,"66,800*","$11,355","$84,869"
557,TIX,$0.000001,Tickets,558,"66,876,281,414","$2,843","$80,995"
558,GPU,$0.001943,GPU Coin,559,"40,477,042",$559,"$78,650"
559,GCC,$0.003865,GuccioneCoin,560,"20,285,537*","$1,232","$78,394"
560,ADCN,$0.003069,Asiadigicoin,561,"24,931,054","$4,030","$76,510"
561,ASAFE2,$0.009187,AllSafe,562,"8,030,000*","$4,104","$73,771"
562,TTC,$0.000058,TittieCoin,563,"1,259,816,434",$906,"$72,597"
563,WORM,$0.000568,HealthyWormCoin,564,"109,553,791",$569,"$62,261"
564,KURT,$0.006026,Kurrent,565,"9,919,485","$1,547","$59,776"
565,RBT,$0.000512,Rimbit,566,"115,499,623*","$1,713","$59,145"
566,XTC,$0.000590,TileCoin,567,"100,000,000*","$2,540","$59,019"
567,BIP,$0.036214,BipCoin,568,"1,627,261",$512,"$58,930"
568,CMPCO,$0.000403,CampusCoin,569,"144,046,526","$4,002","$58,093"
569,MSCN,$0.001144,Master Swiscoin,570,"43,650,500*","$1,842","$49,956"
570,AMMO,$0.000625,Ammo Rewards,571,"77,777,777*","$1,394","$48,622"
571,VLTC,$0.001585,Vault Coin,572,"30,139,890","$1,548","$47,779"
572,LCP,$0.091611,Litecoin Plus,573,"492,201*","$2,097","$45,091"
573,NEVA,$0.018364,NevaCoin,574,"2,296,610",$955,"$42,174"
574,KRONE,$0.017261,Kronecoin,575,"2,429,556","$3,503","$41,937"
575,CTIC2,$0.004234,Coimatic 2.0,576,"9,080,500",$631,"$38,442"
576,BSTAR,$0.000057,Blackstar,577,"630,795,971*","$1,438","$35,849"
577,VRS,$0.000073,Veros,578,"486,609,040*","$57,909","$35,386"
578,CREVA,$0.000968,CrevaCoin,579,"36,390,750","$2,652","$35,240"
579,TAJ,$0.004701,TajCoin,580,"7,437,816","$1,653","$34,965"
580,JIO,$0.016765,JIO Token,581,"1,908,128*","$1,584","$31,990"
581,ACP,$0.006837,AnarchistsPrime,582,"4,394,874",$724,"$30,050"
582,WBC,$1.59,WalletBuilder...,583,"18,686*","$1,000","$29,772"
583,SFC,$0.001994,Solarflarecoin,584,"14,083,450","$1,368","$28,077"
584,LTCU,$0.032118,LiteCoin Ultra,585,"782,602","$3,094","$25,136"
585,CNC,$0.000572,CHNCoin,586,"42,051,527","$2,453","$24,035"
586,WEX,$0.088434,Wexcoin,587,"252,775*","$1,071","$22,354"
587,KNC,$8.62,KingN Coin,588,"2,007*",$714,"$17,291"
588,ALTC,$0.000415,Antilitecoin,589,"31,512,613",$800,"$13,072"
589,LVPS,$0.010075,LevoPlus,590,"975,181","$3,219","$9,825"
590,LBTC,$0.002787,LiteBitcoin,591,"3,188,280",$700,"$8,885"
591,EBT,$0.004768,Ebittree Coin,592,"1,221,041","$4,846","$5,822"
592,NODC,$0.003353,NodeCoin,593,"1,678,439","$3,904","$5,628"
593,XNG,$0.318197,Enigma,594,"16,627","$1,033","$5,291"
594,CF,$0.029552,Californium,595,"111,110",$566,"$3,284"
595,HMC,$0.007399,HarmonyCoin,596,"398,448","$15,496","$2,948"
596,DMB,$0.004244,Digital Money...,597,"421,300","$39,687","$1,788"
597,APW,$0.006422,AppleCoin,598,"47,828","$5,662",$307
598,ADK,$19.64,Aidos Kuneen,599,"10,200,000*",Low Vol,"$200,336,160"
599,ROUND,$0.006675,Round,600,"850,000,000*",Low Vol,"$5,673,512"
600,BPC,$0.038929,Bitpark Coin,601,"75,000,000*",Low Vol,"$2,919,690"
601,GRE,$0.000752,Greencoin,602,"3,438,888,641*",Low Vol,"$2,584,916"
602,BITZ,$1.19,Bitz,603,"1,990,891",Low Vol,"$2,366,612"
603,YASH,$0.223346,YashCoin,604,"10,000,226*",Low Vol,"$2,233,511"
604,AC,$0.002100,AsiaCoin,605,"1,059,404,931",Low Vol,"$2,225,227"
605,ADL,$0.072609,Adelphoi,606,"23,472,224*",Low Vol,"$1,704,288"
606,INPAY,$0.164696,InPay,607,"10,000,000*",Low Vol,"$1,646,960"
607,ARC,$0.876194,Arcade Token,608,"1,874,245*",Low Vol,"$1,642,202"
608,QRK,$0.005971,Quark,609,"251,727,166",Low Vol,"$1,503,005"
609,EAC,$0.000128,EarthCoin,610,"11,439,857,123",Low Vol,"$1,459,691"
610,FYN,$1.69,FundYourselfNow,611,"850,000*",Low Vol,"$1,437,121"
611,CV2,$0.000057,Colossuscoin V2,612,"22,673,785,087*",Low Vol,"$1,289,225"
612,CRYPT,$0.205005,CryptCoin,613,"6,057,535",Low Vol,"$1,241,825"
613,ALT,$9.45,Altcoin,614,"122,175*",Low Vol,"$1,154,637"
614,LOG,$0.140145,Woodcoin,615,"8,035,193",Low Vol,"$1,126,092"
615,IXC,$0.052629,Ixcoin,616,"20,999,088*",Low Vol,"$1,105,153"
616,IFLT,$0.000043,InflationCoin,617,"23,770,685,202*",Low Vol,"$1,023,851"
617,USC,$0.094323,Ultimate Secu...,618,"10,343,113",Low Vol,"$975,593"
618,FIMK,$0.001591,FIMKrypto,619,"577,004,618*",Low Vol,"$918,170"
619,METAL,$0.011878,MetalCoin,620,"76,925,527*",Low Vol,"$913,698"
620,MAX,$0.014890,MaxCoin,621,"60,541,829",Low Vol,"$901,450"
621,SMC,$0.038320,SmartCoin,622,"23,383,294",Low Vol,"$896,045"
622,TOKEN,$0.000057,SwapToken,623,"15,320,585,365*",Low Vol,"$870,684"
623,ZET,$0.004990,Zetacoin,624,"166,813,996",Low Vol,"$832,472"
624,CARBON,$0.000052,Carboncoin,625,"15,391,999,386",Low Vol,"$807,823"
625,SDC,$0.118285,ShadowCash,626,"6,695,133*",Low Vol,"$791,934"
626,HERO,$162.65,Sovereign Hero,627,"4,773*",Low Vol,"$776,333"
627,FNC,$0.058177,FinCoin,628,"12,878,667*",Low Vol,"$749,243"
628,NKA,$0.000073,IncaKoin,629,"10,204,399,066",Low Vol,"$744,543"
629,ITI,$22.41,iTicoin,630,"32,000*",Low Vol,"$716,960"
630,E4ROW,$0.153497,E4ROW,631,"4,188,000*",Low Vol,"$642,845"
631,CASINO,$0.616610,Casino,632,"1,000,000*",?,"$616,610"
632,RC,$0.072971,RussiaCoin,633,"8,216,446",Low Vol,"$599,562"
633,SHORTY,$0.005967,Shorty,634,"100,000,000*",Low Vol,"$596,725"
634,MBI,$0.035134,Monster Byte,635,"16,822,736*",Low Vol,"$591,045"
635,UFO,$0.000170,UFO Coin,636,"3,440,276,262",Low Vol,"$586,543"
636,DFT,$0.323998,DraftCoin,637,"1,788,513*",Low Vol,"$579,475"
637,CDN,$0.005858,Canada eCoin,638,"97,415,544",Low Vol,"$570,629"
638,SUPER,$0.012048,SuperCoin,639,"44,424,382",Low Vol,"$535,234"
639,UTC,$0.011134,UltraCoin,640,"44,207,787",Low Vol,"$492,205"
640,TAG,$0.081853,TagCoin,641,"5,768,505",Low Vol,"$472,172"
641,RIYA,$0.295240,Etheriya,642,"1,581,531*",Low Vol,"$466,931"
642,BTB,$13.04,BitBar,643,"34,632",Low Vol,"$451,609"
643,UNIT,$0.032109,Universal Cur...,644,"13,046,431",Low Vol,"$418,914"
644,TROLL,$0.000738,Trollcoin,645,"562,526,984",Low Vol,"$415,346"
645,BTSR,$0.125446,BTSR,646,"3,285,250*",Low Vol,"$412,121"
646,AMBER,$0.009349,AmberCoin,647,"43,699,481",Low Vol,"$408,544"
647,XCN,$0.001107,Cryptonite,648,"362,903,175",Low Vol,"$401,574"
648,HBN,$0.006706,HoboNickels,649,"59,696,358",Low Vol,"$400,327"
649,GLC,$0.005854,GlobalCoin,650,"65,171,010",Low Vol,"$381,484"
650,MZC,$0.000285,MazaCoin,651,"1,322,383,759",Low Vol,"$376,365"
651,ANC,$0.174917,Anoncoin,652,"2,110,317",Low Vol,"$369,130"
652,I0C,$0.016966,I0Coin,653,"20,982,798",Low Vol,"$355,984"
653,ORB,$0.115956,Orbitcoin,654,"3,052,369",Low Vol,"$353,941"
654,PXC,$0.005640,Phoenixcoin,655,"61,118,610",Low Vol,"$344,738"
655,GCN,$0.000002,GCoin,656,"145,316,210,000",Low Vol,"$335,702"
656,DVC,$0.000022,Devcoin,657,"14,856,157,500",Low Vol,"$320,455"
657,PIGGY,$0.000653,Piggycoin,658,"485,260,922",Low Vol,"$316,929"
658,GOOD,$0.000712,Goodomy,659,"441,349,000*",Low Vol,"$314,184"
659,GAIA,$0.012446,GAIA,660,"24,101,381*",Low Vol,"$299,966"
660,OHM,$0.010286,OHM,661,"29,146,585*",Low Vol,"$299,813"
661,AU,$0.946863,AurumCoin,662,"296,216",Low Vol,"$280,476"
662,8BIT,$0.236322,8Bit,663,"1,164,415*",Low Vol,"$275,177"
663,TALK,$0.004205,BTCtalkcoin,664,"65,290,635",Low Vol,"$274,579"
664,BLOCKPAY,$0.050495,BlockPay,665,"5,428,300*",Low Vol,"$274,104"
665,WYV,$0.170493,Wyvern,666,"1,607,217*",Low Vol,"$274,019"
666,XPY,$0.021598,PayCoin,667,"11,807,770",Low Vol,"$255,030"
667,STS,$0.000430,Stress,668,"565,134,332",Low Vol,"$243,260"
668,KRS,$0.009377,Krypstal,669,"25,008,253*",?,"$234,491"
669,BTCS,$0.013639,Bitcoin Scrypt,670,"16,378,950",Low Vol,"$223,399"
670,PSB,$0.006536,Pesobit,671,"33,391,347*",Low Vol,"$218,231"
671,MNM,$0.022905,Mineum,672,"9,436,367",Low Vol,"$216,141"
672,CAGE,$0.000002,CageCoin,673,"101,168,328,395",Low Vol,"$215,803"
673,OPAL,$0.013910,Opal,674,"15,142,234*",Low Vol,"$210,633"
674,V,$0.000457,Version,675,"460,440,300",Low Vol,"$210,418"
675,CFT,$0.004573,CryptoForecast,676,"46,000,000*",Low Vol,"$210,360"
676,KED,$0.015712,Darsek,677,"13,168,069",Low Vol,"$206,902"
677,TRK,$0.001364,Truckcoin,678,"146,927,928*",Low Vol,"$200,395"
678,UNI,$0.023869,Universe,679,"8,264,717*",Low Vol,"$197,271"
679,CNO,$0.001861,Coin(O),680,"105,146,752",Low Vol,"$195,673"
680,USDE,$0.000170,USDe,681,"1,134,219,428",Low Vol,"$193,376"
681,ICN,$0.006592,iCoin,682,"29,054,169",Low Vol,"$191,536"
682,VIDZ,$0.001528,PureVidz,683,"125,279,775*",Low Vol,"$191,436"
